Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945262281,1699,1699,1699,1453,1699,1436,1547,1699,13.333333969116211,15.15151596069336,12.121212005615234,17.647058486938477,12.5,15.625,15.625,25,10945.985473632813,28894.019165039063,15355.763916015625,4067.089111328125,33360302080,2147479552,6762926080,0
199,1771945262281,1699,1699,1699,1453,1699,1436,1547,1699,13.333333969116211,15.15151596069336,12.121212005615234,17.647058486938477,12.5,15.625,15.625,25,10945.986999511719,28894.020568847656,15355.771118164063,4067.0895385742188,33360302080,2147479552,6762926080,0
199,1771945262481,1699,1699,1699,1453,1699,1436,1547,1699,15.000000953674316,31.57894515991211,16.666667938232422,21.052631378173828,20,15.789472579956055,11.111111640930176,25,10946.436767578125,28896.006103515625,15356.974182128906,4067.4042358398438,33360302080,2147479552,6766579712,0
199,1771945262681,1699,1699,1699,1453,1699,1436,1547,1699,23.809524536132813,19.047618865966797,77.2727279663086,20,25,25,28.571430206298828,15.789472579956055,10946.9169921875,28899.791381835938,15359.73681640625,4067.904541015625,33360302080,2147479552,6800384000,0
200,1771945262881,1699,1699,1699,1453,1699,1436,1547,1699,25,22.22222328186035,100,30.000001907348633,21.052631378173828,15.000000953674316,17.647058486938477,31.57894515991211,10947.443481445313,28904.08123779297,15363.122497558594,4068.3270263671875,33360302080,2147479552,6821834752,0
200,1771945263081,1699,1699,1699,1453,1699,1436,1547,1699,5,5,100,22.22222328186035,5.263157844543457,15.000000953674316,22.72727394104004,10,10947.902465820313,28907.93780517578,15366.132568359375,4068.784912109375,33360302080,2147479552,6828466176,0
200,1771945263281,1699,1699,1699,1453,1699,1436,1547,1699,5,10,100,10,5.263157844543457,5.263157844543457,5.555555820465088,15.000000953674316,10948.332946777344,28911.891967773438,15369.183776855469,4069.3048095703125,33360302080,2147479552,6828466176,0
200,1771945263481,1699,1699,1699,1453,1699,1436,1547,1699,5.555555820465088,10,100,0,10.526315689086914,14.285715103149414,10,5,10948.776489257813,28916.257446289063,15372.75927734375,4069.7073974609375,33360302080,2147479552,6828711936,0
200,1771945263681,1699,1699,1699,1453,1699,1436,1547,1699,10,5.263157844543457,100,5.263157844543457,4.761904716491699,10,10,15.000000953674316,10949.20263671875,28919.606994628906,15375.296997070313,4070.1380615234375,33360302080,2147479552,6831501312,0
200,1771945263882,1699,1699,1699,1453,1699,1436,1547,1699,10,5,35,9.523809432983398,10,5.263157844543457,71.42857360839844,5.555555820465088,10949.630493164063,28922.994018554688,15377.830810546875,4070.6073608398438,33360302080,2147479552,6832099328,0
199,1771945264082,1699,1699,1699,1453,1699,1436,1547,1699,5,5,45,0,5,5,63.15789031982422,5.263157844543457,10950.047790527344,28927.193786621094,15381.17431640625,4071.0859375,33360302080,2147479552,6820630528,0
199,1771945264282,1699,1699,1699,1453,1699,1436,1547,1699,21.052631378173828,30.000001907348633,21.052631378173828,10.526315689086914,16.666667938232422,15.789472579956055,100,19.047618865966797,10950.534912109375,28932.515258789063,15385.539184570313,4071.6392211914063,33360302080,2147479552,6828888064,0
199,1771945264482,1699,1699,1699,1453,1699,1436,1547,1699,10.526315689086914,10,85,10,5.263157844543457,5.263157844543457,15.000000953674316,10,10950.961608886719,28935.761108398438,15387.959838867188,4072.082275390625,33360302080,2147479552,6828888064,0
