Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945254704,3033,3041,2984,3075,2958,2935,3051,2983,16.129032135009766,21.875,22.580644607543945,40.625,30.30303192138672,18.75,18.18181800842285,20,10935.313842773438,28775.053100585938,15253.576721191406,4062.6451416015625,33360302080,2147479552,6843936768,0
199,1771945254704,3033,3041,2984,3075,2958,2935,3051,2983,16.129032135009766,21.875,22.580644607543945,40.625,30.30303192138672,18.75,18.18181800842285,20,10935.317016601563,28775.05731201172,15253.576721191406,4062.6476440429688,33360302080,2147479552,6843936768,0
199,1771945254904,3033,3041,2984,3075,2958,2935,3051,2983,15.789472579956055,26.3157901763916,35,15.789472579956055,15.789472579956055,20,21.052631378173828,16.666667938232422,10935.742736816406,28776.49835205078,15254.430114746094,4062.7935180664063,33360302080,2147479552,6854770688,0
199,1771945255104,3033,3041,2984,3075,2958,2935,3051,2983,15.789472579956055,26.3157901763916,35,15.789472579956055,15.789472579956055,20,21.052631378173828,16.666667938232422,10936.210021972656,28779.041870117188,15256.19091796875,4063.0603637695313,33360302080,2147479552,6889000960,0
199,1771945255304,3033,3041,2984,3075,2958,2935,3051,2983,18.421052932739258,15.000000953674316,15.789472579956055,62.5,12.820513725280762,21.052631378173828,12.5,33.333335876464844,10936.667297363281,28783.102661132813,15259.280822753906,4063.61328125,33360302080,2147479552,6895505408,0
200,1771945255504,3033,3041,2984,3075,2958,2935,3051,2983,5,0,9.523809432983398,100,0,0,5.263157844543457,5,10937.064453125,28786.999389648438,15262.495483398438,4063.9393310546875,33360302080,2147479552,6901178368,0
200,1771945255704,3033,3041,2984,3075,2958,2935,3051,2983,0,0,0,100,0,0,0,0,10937.287170410156,28790.906982421875,15266.114318847656,4063.9393310546875,33360302080,2147479552,6901346304,0
199,1771945255904,3033,3041,2984,3075,2958,2935,3051,2983,5,9.523809432983398,5,100,9.523809432983398,5,10,0,10937.626708984375,28794.892211914063,15269.440795898438,4064.2605590820313,33360302080,2147479552,6894850048,0
200,1771945256104,3033,3041,2984,3075,2958,2935,3051,2983,0,0,10,100,0,5.263157844543457,5,5.263157844543457,10938.0478515625,28799.963989257813,15273.434875488281,4064.962890625,33360302080,2147479552,6895620096,0
200,1771945256304,3033,3041,2984,3075,2958,2935,3051,2983,4.761904716491699,4.761904716491699,9.523809432983398,95.23809814453125,10,5,5,10,10938.461975097656,28803.716064453125,15276.132629394531,4065.6442260742188,33360302080,2147479552,6896123904,0
