Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945139156,1465,1488,1542,1498,1505,1465,1451,1478,13.043478012084961,4.545454502105713,8.69565200805664,4.545454502105713,8.333333969116211,26.086956024169922,8.69565200805664,12.5,10791.615905761719,26967.64141845703,13638.804443359375,4047.8407592773438,33360302080,2147479552,6930776064,0
200,1771945139156,1465,1488,1542,1498,1505,1465,1451,1478,13.043478012084961,4.545454502105713,8.69565200805664,4.545454502105713,8.333333969116211,26.086956024169922,8.69565200805664,12.5,10791.615905761719,26967.64141845703,13638.804443359375,4047.8407592773438,33360302080,2147479552,6930776064,0
200,1771945139357,1465,1488,1542,1498,1505,1465,1451,1478,25,21.052631378173828,20,26.3157901763916,15.789472579956055,45,26.3157901763916,21.052631378173828,10791.880432128906,26969.17706298828,13639.931396484375,4047.8407592773438,33360302080,2147479552,6945693696,0
199,1771945139557,1465,1488,1542,1498,1505,1465,1451,1478,78.94737243652344,14.285715103149414,16.666667938232422,21.052631378173828,15.000000953674316,90,15.000000953674316,10,10792.258239746094,26975.013916015625,13645.3173828125,4047.8407592773438,33360302080,2147479552,6998446080,0
200,1771945139757,1465,1488,1542,1498,1505,1465,1451,1478,100,0,25,15.000000953674316,0,80,0,5,10792.653747558594,26978.511169433594,13648.477783203125,4047.8407592773438,33360302080,2147479552,7008706560,0
200,1771945139957,1465,1488,1542,1498,1505,1465,1451,1478,100,0,0,0,0,15.000000953674316,0,0,10792.921508789063,26981.47979736328,13651.151000976563,4047.8407592773438,33360302080,2147479552,7013175296,0
200,1771945140157,1465,1488,1542,1498,1505,1465,1451,1478,100,0,4.761904716491699,0,4.761904716491699,0,0,5,10793.161499023438,26985.494201660156,13654.941223144531,4047.87158203125,33360302080,2147479552,7013126144,0
200,1771945140357,1465,1488,1542,1498,1505,1465,1451,1478,100,0,0,0,0,0,0,0,10793.384094238281,26988.53192138672,13657.602905273438,4047.87158203125,33360302080,2147479552,7013425152,0
200,1771945140557,1465,1488,1542,1498,1505,1465,1451,1478,100,0,0,0,0,0,4.761904716491699,0,10793.609313964844,26991.796875,13660.585998535156,4047.87158203125,33360302080,2147479552,7013425152,0
200,1771945140757,1465,1488,1542,1498,1505,1465,1451,1478,100,0,0,0,0,0,0,0,10793.833679199219,26995.129516601563,13663.636962890625,4047.87158203125,33360302080,2147479552,7011921920,0
