Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945174932,1299,1300,1299,1300,1299,1300,1299,1299,16.666667938232422,13.333333969116211,12.90322494506836,12.90322494506836,16.666667938232422,10,12.90322494506836,12.90322494506836,10834.182067871094,27511.523864746094,14128.008117675781,4048.5048828125,33360302080,2147479552,6774935552,0
199,1771945174932,1299,1300,1299,1300,1299,1300,1299,1299,16.666667938232422,13.333333969116211,12.90322494506836,12.90322494506836,16.666667938232422,10,12.90322494506836,12.90322494506836,10834.18359375,27511.535095214844,14128.008117675781,4048.5048828125,33360302080,2147479552,6774935552,0
199,1771945175132,1299,1300,1299,1300,1299,1300,1299,1299,25,31.57894515991211,21.052631378173828,15.000000953674316,28.571430206298828,25,15.789472579956055,21.052631378173828,10834.432983398438,27512.26611328125,14128.38232421875,4048.5048828125,33360302080,2147479552,6782337024,0
199,1771945175332,1299,1300,1299,1300,1299,1300,1299,1299,25,31.57894515991211,21.052631378173828,15.000000953674316,28.571430206298828,25,15.789472579956055,21.052631378173828,10834.718383789063,27515.555236816406,14131.237060546875,4048.5048828125,33360302080,2147479552,6805667840,0
200,1771945175532,1299,1300,1299,1300,1299,1300,1299,1299,7.894736289978027,12.195121765136719,14.634145736694336,7.692307949066162,7.692307949066162,20.512821197509766,72.5,10.256410598754883,10834.997253417969,27519.697814941406,14134.975708007813,4048.5048828125,33360302080,2147479552,6817464320,0
200,1771945175732,1299,1300,1299,1300,1299,1300,1299,1299,5,0,5,14.285715103149414,5.263157844543457,15.000000953674316,100,14.285715103149414,10835.397399902344,27523.284423828125,14137.902465820313,4048.8032836914063,33360302080,2147479552,6831632384,0
200,1771945175932,1299,1300,1299,1300,1299,1300,1299,1299,0,0,0,0,0,0,100,0,10835.6201171875,27526.968811035156,14141.2958984375,4048.8032836914063,33360302080,2147479552,6831890432,0
200,1771945176132,1299,1300,1299,1300,1299,1300,1299,1299,5,5,0,0,0,0,100,0,10835.85009765625,27529.905700683594,14143.9404296875,4048.8032836914063,33360302080,2147479552,6826790912,0
200,1771945176332,1299,1300,1299,1300,1299,1300,1299,1299,0,4.761904716491699,42.105262756347656,0,0,0,57.142860412597656,0,10836.077026367188,27533.277587890625,14147.224548339844,4048.8032836914063,33360302080,2147479552,6826840064,0
200,1771945176532,1299,1300,1299,1300,1299,1300,1299,1299,0,0,100,0,5,0,0,0,10836.303100585938,27537.184020996094,14150.635559082031,4048.8032836914063,33360302080,2147479552,6829129728,0
