Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945182201,2200,2200,2199,2200,2199,2200,2200,2200,11.428571701049805,11.428571701049805,8.823529243469238,13.88888931274414,8.823529243469238,11.428571701049805,8.571429252624512,8.823529243469238,10842.794189453125,27619.862182617188,14224.889953613281,4048.8702392578125,33360302080,2147479552,6757969920,0
199,1771945182201,2200,2200,2199,2200,2199,2200,2200,2200,11.428571701049805,11.428571701049805,8.823529243469238,13.88888931274414,8.823529243469238,11.428571701049805,8.571429252624512,8.823529243469238,10842.795593261719,27619.863403320313,14224.889953613281,4048.8702392578125,33360302080,2147479552,6757969920,0
199,1771945182401,2200,2200,2199,2200,2199,2200,2200,2200,26.3157901763916,21.052631378173828,45,25,20,27.77777862548828,31.57894515991211,25,10843.044799804688,27620.50732421875,14225.195983886719,4048.8702392578125,33360302080,2147479552,6762074112,0
199,1771945182601,2200,2200,2199,2200,2199,2200,2200,2200,26.3157901763916,21.052631378173828,45,25,20,27.77777862548828,31.57894515991211,25,10843.311279296875,27621.542907714844,14225.819030761719,4048.8702392578125,33360302080,2147479552,6775238656,0
200,1771945182801,2200,2200,2199,2200,2199,2200,2200,2200,15.000000953674316,27.5,15.000000953674316,10.526315689086914,18.421052932739258,14.634145736694336,25,57.5,10843.597351074219,27625.525634765625,14229.642395019531,4048.8702392578125,33360302080,2147479552,6815543296,0
200,1771945183001,2200,2200,2199,2200,2199,2200,2200,2200,9.523809432983398,15.000000953674316,0,90,10,10,4.761904716491699,16.666667938232422,10844.005187988281,27629.4443359375,14232.654846191406,4049.1774291992188,33360302080,2147479552,6836011008,0
200,1771945183201,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,100,0,0,0,0,10844.233276367188,27632.534545898438,14235.543395996094,4049.1774291992188,33360302080,2147479552,6836011008,0
200,1771945183401,2200,2200,2199,2200,2199,2200,2200,2200,0,0,10.526315689086914,100,0,0,5,0,10844.471618652344,27635.92510986328,14238.562316894531,4049.1774291992188,33360302080,2147479552,6837596160,0
200,1771945183601,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,100,4.761904716491699,0,0,5,10844.69677734375,27639.901245117188,14242.254638671875,4049.1774291992188,33360302080,2147479552,6825566208,0
200,1771945183802,2200,2200,2199,2200,2199,2200,2200,2200,0,0,4.761904716491699,100,0,0,0,0,10844.924621582031,27643.307250976563,14245.375610351563,4049.1774291992188,33360302080,2147479552,6827466752,0
200,1771945184002,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,100,0,0,0,0,10845.145935058594,27646.64923095703,14248.434509277344,4049.1774291992188,33360302080,2147479552,6827466752,0
200,1771945184202,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,100,0,0,0,0,10845.368957519531,27649.840942382813,14251.34228515625,4049.1774291992188,33360302080,2147479552,6827466752,0
199,1771945184402,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,100,0,0,0,0,10845.591735839844,27653.529052734375,14254.747619628906,4049.1774291992188,33360302080,2147479552,6827765760,0
200,1771945184602,2200,2200,2199,2200,2199,2200,2200,2200,0,5,0,100,5,0,0,0,10845.819274902344,27657.551147460938,14258.532165527344,4049.1774291992188,33360302080,2147479552,6829789184,0
200,1771945184802,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,15.000000953674316,0,0,0,90,10846.042907714844,27661.18798828125,14261.837707519531,4049.1774291992188,33360302080,2147479552,6829789184,0
200,1771945185002,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10846.265319824219,27664.818359375,14265.184692382813,4049.1774291992188,33360302080,2147479552,6829789184,0
200,1771945185202,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10846.487854003906,27669.126525878906,14269.209411621094,4049.1774291992188,33360302080,2147479552,6829789184,0
200,1771945185402,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10846.710693359375,27672.56231689453,14272.360961914063,4049.1774291992188,33360302080,2147479552,6829789184,0
200,1771945185602,2200,2200,2199,2200,2199,2200,2200,2200,0,0,9.523809432983398,9.523809432983398,0,5,0,100,10846.946166992188,27676.081115722656,14275.591247558594,4049.1774291992188,33360302080,2147479552,6829785088,0
200,1771945185802,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10847.169494628906,27679.63690185547,14278.863586425781,4049.1774291992188,33360302080,2147479552,6829785088,0
200,1771945186003,2200,2200,2199,2200,2199,2200,2200,2200,4.761904716491699,0,0,0,4.761904716491699,0,0,100,10847.396057128906,27682.661560058594,14281.603332519531,4049.1774291992188,33360302080,2147479552,6825299968,0
200,1771945186203,2200,2200,2199,2200,2199,2200,2200,2200,4.761904716491699,0,0,0,0,4.761904716491699,0,100,10847.617309570313,27686.406799316406,14285.065368652344,4049.1774291992188,33360302080,2147479552,6825299968,0
199,1771945186403,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10847.839416503906,27689.629333496094,14288.004516601563,4049.1774291992188,33360302080,2147479552,6825299968,0
200,1771945186603,2200,2200,2199,2200,2199,2200,2200,2200,0,5,4.761904716491699,0,0,0,0,100,10848.065246582031,27693.32012939453,14291.410400390625,4049.1774291992188,33360302080,2147479552,6825299968,0
200,1771945186803,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10848.287170410156,27697.069763183594,14294.877014160156,4049.1774291992188,33360302080,2147479552,6825414656,0
200,1771945187003,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10848.508178710938,27699.706665039063,14297.231506347656,4049.1774291992188,33360302080,2147479552,6825414656,0
200,1771945187203,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10848.730712890625,27703.714721679688,14300.956237792969,4049.1774291992188,33360302080,2147479552,6825414656,0
200,1771945187403,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10848.95166015625,27707.474975585938,14304.433959960938,4049.1774291992188,33360302080,2147479552,6825414656,0
200,1771945187603,2200,2200,2199,2200,2199,2200,2200,2200,15.789472579956055,0,0,0,0,0,0,100,10849.180541992188,27711.000366210938,14307.671936035156,4049.1774291992188,33360302080,2147479552,6824251392,0
200,1771945187803,2200,2200,2199,2200,2199,2200,2200,2200,25,25,25,25,28.571430206298828,25,25,100,10849.488830566406,27716.234252929688,14312.591430664063,4049.1774291992188,33360302080,2147479552,6824550400,0
200,1771945188004,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10849.711181640625,27719.34735107422,14315.348205566406,4049.1774291992188,33360302080,2147479552,6824542208,0
200,1771945188204,2200,2200,2199,2200,2199,2200,2200,2200,0,0,0,0,0,0,0,100,10849.932495117188,27722.31524658203,14318.032409667969,4049.1774291992188,33360302080,2147479552,6824542208,0
199,1771945188404,2200,2200,2199,2200,2199,2200,2200,2200,0,4.761904716491699,0,0,0,0,0,100,10850.15478515625,27725.82958984375,14321.26318359375,4049.1774291992188,33360302080,2147479552,6824542208,0
200,1771945188604,2200,2200,2199,2200,2199,2200,2200,2200,4.761904716491699,0,0,0,5,0,5,90.47618865966797,10850.401611328125,27729.76043701172,14324.888244628906,4049.1774291992188,33360302080,2147479552,6806765568,0
0,1771945188804,2200,2200,2199,2200,2199,2200,2200,2200,5.263157844543457,10,15.000000953674316,5.263157844543457,20,9.523809432983398,10,5.263157844543457,10850.660278320313,27731.278198242188,14325.991882324219,4049.1774291992188,33360302080,2147479552,6786568192,0
