Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945132032,3103,3100,3101,3099,3099,3100,3099,3099,13.333333969116211,13.333333969116211,10.344827651977539,13.333333969116211,10.344827651977539,18.75,10.344827651977539,20,10783.278747558594,26856.69073486328,13538.632751464844,4047.7379760742188,33360302080,2147479552,6950772736,0
199,1771945132033,3103,3100,3101,3099,3099,3100,3099,3099,13.333333969116211,13.333333969116211,10.344827651977539,13.333333969116211,10.344827651977539,18.75,10.344827651977539,20,10783.280029296875,26856.69219970703,13538.632751464844,4047.7379760742188,33360302080,2147479552,6950772736,0
199,1771945132233,3103,3100,3101,3099,3099,3100,3099,3099,22.22222328186035,35,25,21.052631378173828,25,21.052631378173828,20,26.3157901763916,10783.518615722656,26857.368408203125,13538.933654785156,4047.7379760742188,33360302080,2147479552,6958882816,0
200,1771945132433,3103,3100,3101,3099,3099,3100,3099,3099,22.22222328186035,35,25,21.052631378173828,25,21.052631378173828,20,26.3157901763916,10783.787963867188,26858.551391601563,13539.697021484375,4047.7379760742188,33360302080,2147479552,6980374528,0
199,1771945132633,3103,3100,3101,3099,3099,3100,3099,3099,62.5,13.1578950881958,24.324325561523438,20.512821197509766,12.820513725280762,15.000000953674316,17.948719024658203,17.948719024658203,10784.061096191406,26862.086975097656,13542.854187011719,4047.7379760742188,33360302080,2147479552,7025930240,0
199,1771945132833,3103,3100,3101,3099,3099,3100,3099,3099,100,0,0,0,0,0,0,0,10784.307861328125,26865.538635253906,13546.022033691406,4047.7379760742188,33360302080,2147479552,7030415360,0
199,1771945133033,3103,3100,3101,3099,3099,3100,3099,3099,100,0,0,0,0,0,4.761904716491699,0,10784.530456542969,26869.125732421875,13549.331237792969,4047.7379760742188,33360302080,2147479552,7030415360,0
199,1771945133233,3103,3100,3101,3099,3099,3100,3099,3099,100,0,4.761904716491699,4.761904716491699,0,0,0,0,10784.754760742188,26872.16290283203,13552.089599609375,4047.7379760742188,33360302080,2147479552,7030714368,0
199,1771945133433,3103,3100,3101,3099,3099,3100,3099,3099,70,0,0,0,26.3157901763916,0,0,0,10784.981323242188,26875.99383544922,13555.641235351563,4047.7379760742188,33360302080,2147479552,7028715520,0
199,1771945133633,3103,3100,3101,3099,3099,3100,3099,3099,100,0,0,0,4.761904716491699,4.761904716491699,0,0,10785.205322265625,26879.110229492188,13558.476623535156,4047.7379760742188,33360302080,2147479552,7028969472,0
199,1771945133833,3103,3100,3101,3099,3099,3100,3099,3099,100,9.523809432983398,0,0,0,5.263157844543457,0,9.523809432983398,10785.439880371094,26883.5341796875,13562.618896484375,4047.7379760742188,33360302080,2147479552,7028969472,0
