Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945217730,1800,1799,1800,1800,1799,1799,1800,1799,25,8.333333969116211,26.086956024169922,32,8,29.16666603088379,32,0,10885.3154296875,28180.581115722656,14730.474182128906,4049.9573974609375,33360302080,2147479552,6765760512,0
199,1771945217730,1800,1799,1800,1800,1799,1799,1800,1799,25,8.333333969116211,26.086956024169922,32,8,29.16666603088379,32,0,10885.316833496094,28180.58233642578,14730.474182128906,4049.9573974609375,33360302080,2147479552,6765760512,0
199,1771945217930,1800,1799,1800,1800,1799,1799,1800,1799,40,25,28.571430206298828,20,16.666667938232422,15.789472579956055,21.052631378173828,15.789472579956055,10885.557006835938,28181.205993652344,14730.760375976563,4049.9573974609375,33360302080,2147479552,6767017984,0
199,1771945218130,1800,1799,1800,1800,1799,1799,1800,1799,40,25,28.571430206298828,20,16.666667938232422,15.789472579956055,21.052631378173828,15.789472579956055,10885.827209472656,28182.792907714844,14731.923950195313,4049.9573974609375,33360302080,2147479552,6789799936,0
200,1771945218330,1800,1799,1800,1800,1799,1799,1800,1799,7.692307949066162,13.1578950881958,20,12.820513725280762,15.384615898132324,12.5,19.51219367980957,72.5,10886.112731933594,28186.75067138672,14735.467407226563,4049.9573974609375,33360302080,2147479552,6804873216,0
200,1771945218530,1800,1799,1800,1800,1799,1799,1800,1799,5,9.523809432983398,15.789472579956055,71.42857360839844,9.090909004211426,10,0,35,10886.523315429688,28190.198486328125,14738.224548339844,4050.287109375,33360302080,2147479552,6827425792,0
200,1771945218730,1800,1799,1800,1800,1799,1799,1800,1799,0,0,0,100,0,0,0,4.761904716491699,10886.751953125,28193.73828125,14741.477844238281,4050.287109375,33360302080,2147479552,6827900928,0
200,1771945218930,1800,1799,1800,1800,1799,1799,1800,1799,9.523809432983398,5,0,100,0,0,5.263157844543457,0,10886.986206054688,28197.499450683594,14744.950805664063,4050.287109375,33360302080,2147479552,6828072960,0
200,1771945219131,1800,1799,1800,1800,1799,1799,1800,1799,0,0,0,100,4.761904716491699,0,0,0,10887.210693359375,28201.247436523438,14748.413330078125,4050.287109375,33360302080,2147479552,6828584960,0
200,1771945219331,1800,1799,1800,1800,1799,1799,1800,1799,0,0,0,100,0,0,4.761904716491699,0,10887.436889648438,28204.891967773438,14751.771728515625,4050.287109375,33360302080,2147479552,6829690880,0
199,1771945219531,1800,1799,1800,1800,1799,1799,1800,1799,0,0,0,100,0,0,0,0,10887.660461425781,28208.376892089844,14754.971435546875,4050.287109375,33360302080,2147479552,6829690880,0
