Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945246399,1000,1000,999,1000,999,1000,999,1000,14.814814567565918,11.111111640930176,11.538461685180664,17.85714340209961,11.111111640930176,17.241378784179688,11.538461685180664,18.518518447875977,10920.538330078125,28630.37451171875,15133.508361816406,4052.73974609375,33360302080,2147479552,6751584256,0
199,1771945246400,1000,1000,999,1000,999,1000,999,1000,14.814814567565918,11.111111640930176,11.538461685180664,17.85714340209961,11.111111640930176,17.241378784179688,11.538461685180664,18.518518447875977,10920.53955078125,28630.377197265625,15133.508361816406,4052.73974609375,33360302080,2147479552,6751584256,0
199,1771945246600,1000,1000,999,1000,999,1000,999,1000,31.57894515991211,30.000001907348633,26.3157901763916,21.052631378173828,20,33.333335876464844,30.000001907348633,23.52941131591797,10920.7900390625,28631.047912597656,15133.836120605469,4052.73974609375,33360302080,2147479552,6757036032,0
200,1771945246800,1000,1000,999,1000,999,1000,999,1000,31.57894515991211,30.000001907348633,26.3157901763916,21.052631378173828,20,33.333335876464844,30.000001907348633,23.52941131591797,10921.079467773438,28632.519470214844,15134.871276855469,4052.73974609375,33360302080,2147479552,6781849600,0
199,1771945247000,1000,1000,999,1000,999,1000,999,1000,12.820513725280762,17.948719024658203,10,15.000000953674316,10.526315689086914,12.5,73.17073059082031,16.666667938232422,10921.338928222656,28636.385009765625,15138.354370117188,4052.73974609375,33360302080,2147479552,6798209024,0
199,1771945247200,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,5,5,100,11.111111640930176,10921.749084472656,28640.85919189453,15142.324462890625,4052.8885498046875,33360302080,2147479552,6815277056,0
199,1771945247400,1000,1000,999,1000,999,1000,999,1000,4.761904716491699,0,0,0,0,0,100,0,10921.97119140625,28643.880493164063,15145.061950683594,4052.8885498046875,33360302080,2147479552,6815277056,0
199,1771945247600,1000,1000,999,1000,999,1000,999,1000,5,9.523809432983398,0,0,4.761904716491699,0,100,33.333335876464844,10922.293212890625,28647.50262451172,15148.279846191406,4053.0240478515625,33360302080,2147479552,6816825344,0
199,1771945247800,1000,1000,999,1000,999,1000,999,1000,5,5.263157844543457,0,10,0,0,100,5,10922.719970703125,28651.785888671875,15151.544982910156,4053.617919921875,33360302080,2147479552,6817452032,0
199,1771945248000,1000,1000,999,1000,999,1000,999,1000,0,5,5,5,4.761904716491699,14.285715103149414,100,5.263157844543457,10923.15185546875,28655.48175048828,15154.372741699219,4054.1116943359375,33360302080,2147479552,6817447936,0
200,1771945248201,1000,1000,999,1000,999,1000,999,1000,0,5,4.761904716491699,5,5,5,100,0,10923.570068359375,28659.042541503906,15156.956298828125,4054.7203369140625,33360302080,2147479552,6817693696,0
200,1771945248401,1000,1000,999,1000,999,1000,999,1000,4.761904716491699,5,5,0,0,5,100,0,10923.931091308594,28661.935791015625,15159.187072753906,4055.037353515625,33360302080,2147479552,6817693696,0
200,1771945248601,1000,1000,999,1000,999,1000,999,1000,0,4.761904716491699,0,0,0,0,100,0,10924.154663085938,28664.916137695313,15161.882568359375,4055.037353515625,33360302080,2147479552,6817951744,0
200,1771945248801,1000,1000,999,1000,999,1000,999,1000,5,0,0,0,0,4.761904716491699,100,0,10924.39306640625,28668.49139404297,15165.102783203125,4055.0675659179688,33360302080,2147479552,6818201600,0
200,1771945249001,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,0,0,100,4.761904716491699,10924.6171875,28671.564575195313,15167.851928710938,4055.0675659179688,33360302080,2147479552,6818201600,0
200,1771945249201,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,0,0,100,0,10924.838623046875,28674.966430664063,15170.969970703125,4055.0675659179688,33360302080,2147479552,6818201600,0
200,1771945249401,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,0,0,100,0,10925.060241699219,28678.020935058594,15173.741821289063,4055.0675659179688,33360302080,2147479552,6818459648,0
200,1771945249601,1000,1000,999,1000,999,1000,999,1000,0,0,0,4.761904716491699,0,0,100,10,10925.287780761719,28681.583557128906,15177.019470214844,4055.0675659179688,33360302080,2147479552,6818459648,0
200,1771945249801,1000,1000,999,1000,999,1000,999,1000,0,13.636363983154297,0,0,9.090909004211426,0,100,0,10925.521667480469,28685.347412109375,15180.494812011719,4055.0675659179688,33360302080,2147479552,6819225600,0
200,1771945250001,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,0,0,100,0,10925.749389648438,28688.0107421875,15182.871337890625,4055.0675659179688,33360302080,2147479552,6804611072,0
199,1771945250201,1000,1000,999,1000,999,1000,999,1000,0,0,4.761904716491699,0,0,0,100,0,10925.972045898438,28691.490844726563,15186.067443847656,4055.0675659179688,33360302080,2147479552,6804578304,0
200,1771945250402,1000,1000,999,1000,999,1000,999,1000,5,5,10.526315689086914,0,0,5,100,0,10926.260559082031,28694.933044433594,15189.157836914063,4055.1100463867188,33360302080,2147479552,6804836352,0
199,1771945250602,1000,1000,999,1000,999,1000,999,1000,9.090909004211426,9.523809432983398,5,5.263157844543457,0,10,100,4.761904716491699,10926.692260742188,28699.53045654297,15192.859069824219,4055.6332397460938,33360302080,2147479552,6804836352,0
200,1771945250802,1000,1000,999,1000,999,1000,999,1000,9.090909004211426,9.523809432983398,5,5.263157844543457,0,10,100,4.761904716491699,10927.148681640625,28703.76837158203,15196.189819335938,4056.1270141601563,33360302080,2147479552,6804840448,0
199,1771945251002,1000,1000,999,1000,999,1000,999,1000,2.6315789222717285,5.263157844543457,5.128205299377441,5.128205299377441,7.692307949066162,7.500000476837158,100,7.500000476837158,10927.615783691406,28708.182067871094,15199.851684570313,4056.447021484375,33360302080,2147479552,6805094400,0
199,1771945251202,1000,1000,999,1000,999,1000,999,1000,2.6315789222717285,5.263157844543457,5.128205299377441,5.128205299377441,7.692307949066162,7.500000476837158,100,7.500000476837158,10928.073364257813,28711.836975097656,15202.744506835938,4056.8287353515625,33360302080,2147479552,6805336064,0
199,1771945251402,1000,1000,999,1000,999,1000,999,1000,9.756096839904785,5,5.128205299377441,7.500000476837158,10.256410598754883,5.405405521392822,100,7.894736289978027,10928.457153320313,28715.969848632813,15206.235107421875,4057.120849609375,33360302080,2147479552,6805581824,0
199,1771945251602,1000,1000,999,1000,999,1000,999,1000,5.263157844543457,5,5.263157844543457,5.263157844543457,36.842105865478516,9.523809432983398,100,5.263157844543457,10928.910888671875,28720.684204101563,15210.081665039063,4057.6068115234375,33360302080,2147479552,6806843392,0
199,1771945251802,1000,1000,999,1000,999,1000,999,1000,10.526315689086914,10,71.42857360839844,5,45,17.647058486938477,52.6315803527832,5,10929.420532226563,28725.356079101563,15213.891967773438,4058.0632934570313,33360302080,2147479552,6837137408,0
200,1771945252002,1000,1000,999,1000,999,1000,999,1000,10,11.111111640930176,100,15.789472579956055,21.052631378173828,25,40.90909194946289,21.052631378173828,10929.925720214844,28729.74530029297,15217.457397460938,4058.4856567382813,33360302080,2147479552,6837125120,0
199,1771945252202,1000,1000,999,1000,999,1000,999,1000,10,10,100,9.523809432983398,14.285715103149414,4.761904716491699,5,5,10930.360534667969,28733.693603515625,15220.356262207031,4059.1576538085938,33360302080,2147479552,6837383168,0
199,1771945252402,1000,1000,999,1000,999,1000,999,1000,15.789472579956055,10,50,15.000000953674316,10.526315689086914,20,63.15789031982422,5.555555820465088,10930.811218261719,28737.589721679688,15223.286682128906,4059.7376708984375,33360302080,2147479552,6837538816,0
199,1771945252603,1000,1000,999,1000,999,1000,999,1000,5.263157844543457,15.000000953674316,5,5.263157844543457,5.263157844543457,15.000000953674316,100,10.526315689086914,10931.269287109375,28741.50506591797,15226.30126953125,4060.2545776367188,33360302080,2147479552,6837792768,0
199,1771945252803,1000,1000,999,1000,999,1000,999,1000,10,10,10,5,5,10,100,0,10931.722595214844,28746.1005859375,15230.097473144531,4060.6756591796875,33360302080,2147479552,6838050816,0
199,1771945253003,1000,1000,999,1000,999,1000,999,1000,10,10,10,5,5,10,100,0,10932.299987792969,28752.764282226563,15235.944152832031,4061.0559692382813,33360302080,2147479552,6854451200,0
199,1771945253203,1000,1000,999,1000,999,1000,999,1000,23.076923370361328,38.46154022216797,28.205129623413086,48.71794891357422,30.000001907348633,30.000001907348633,100,33.333335876464844,10932.725036621094,28756.584899902344,15238.885559082031,4061.5648193359375,33360302080,2147479552,6853869568,0
200,1771945253403,1000,1000,999,1000,999,1000,999,1000,0,4.761904716491699,0,9.523809432983398,5,0,100,0,10933.096618652344,28759.929443359375,15241.49951171875,4061.9426879882813,33360302080,2147479552,6848245760,0
199,1771945253603,1000,1000,999,1000,999,1000,999,1000,0,21.052631378173828,9.523809432983398,5.263157844543457,35,5,100,19.047618865966797,10933.406433105469,28764.033569335938,15245.202453613281,4062.0253295898438,33360302080,2147479552,6865756160,0
200,1771945253803,1000,1000,999,1000,999,1000,999,1000,14.285715103149414,9.523809432983398,14.285715103149414,36.842105865478516,25,5,90,10.526315689086914,10933.754028320313,28768.421447753906,15249.169067382813,4062.081787109375,33360302080,2147479552,6859833344,0
0,1771945254003,1000,1000,999,1000,999,1000,999,1000,31.81818199157715,5.555555820465088,11.111111640930176,22.72727394104004,30.000001907348633,10.526315689086914,15.789472579956055,30.000001907348633,10934.025390625,28770.847534179688,15251.173645019531,4062.0821533203125,33360302080,2147479552,6858887168,0
