Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945210722,1600,1599,1599,1600,1599,1599,1599,1599,4.545454502105713,0,4.545454502105713,8.69565200805664,8.333333969116211,8.69565200805664,8.69565200805664,4.34782600402832,10876.998168945313,28071.695739746094,14632.296264648438,4049.8760375976563,33360302080,2147479552,6744612864,0
199,1771945210722,1600,1599,1599,1600,1599,1599,1599,1599,4.545454502105713,0,4.545454502105713,8.69565200805664,8.333333969116211,8.69565200805664,8.69565200805664,4.34782600402832,10876.999450683594,28071.69696044922,14632.296264648438,4049.8760375976563,33360302080,2147479552,6744612864,0
199,1771945210922,1600,1599,1599,1600,1599,1599,1599,1599,23.809524536132813,15.789472579956055,15.000000953674316,22.22222328186035,21.052631378173828,10.526315689086914,31.57894515991211,14.285715103149414,10877.261291503906,28072.75457763672,14632.98291015625,4049.8760375976563,33360302080,2147479552,6761312256,0
200,1771945211122,1600,1599,1599,1600,1599,1599,1599,1599,23.809524536132813,15.789472579956055,15.000000953674316,22.22222328186035,21.052631378173828,10.526315689086914,31.57894515991211,14.285715103149414,10877.545349121094,28075.65380859375,14635.446716308594,4049.8760375976563,33360302080,2147479552,6790656000,0
200,1771945211322,1600,1599,1599,1600,1599,1599,1599,1599,7.500000476837158,7.894736289978027,17.5,7.500000476837158,7.692307949066162,7.500000476837158,7.500000476837158,84.61538696289063,10877.819641113281,28078.68280029297,14638.099060058594,4049.8760375976563,33360302080,2147479552,6798385152,0
200,1771945211523,1600,1599,1599,1600,1599,1599,1599,1599,15.000000953674316,4.761904716491699,5,65,0,0,0,33.333335876464844,10878.097473144531,28082.862548828125,14641.929016113281,4049.9215698242188,33360302080,2147479552,6810812416,0
200,1771945211723,1600,1599,1599,1600,1599,1599,1599,1599,5,0,0,100,0,0,0,0,10878.323364257813,28085.967712402344,14644.906677246094,4049.9215698242188,33360302080,2147479552,6811254784,0
200,1771945211923,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,0,9.523809432983398,0,10878.557983398438,28089.458740234375,14647.951599121094,4049.9215698242188,33360302080,2147479552,6816149504,0
200,1771945212123,1600,1599,1599,1600,1599,1599,1599,1599,0,0,4.761904716491699,100,0,0,0,0,10878.787231445313,28093.229553222656,14651.435607910156,4049.9215698242188,33360302080,2147479552,6816149504,0
200,1771945212323,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,4.761904716491699,4.761904716491699,0,0,10879.014831542969,28096.217712402344,14654.137268066406,4049.9215698242188,33360302080,2147479552,6814158848,0
200,1771945212523,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,4.761904716491699,0,0,10879.237243652344,28100.35430908203,14657.989135742188,4049.9215698242188,33360302080,2147479552,6814158848,0
200,1771945212723,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,0,0,0,10879.463928222656,28103.39569091797,14660.742736816406,4049.9215698242188,33360302080,2147479552,6814674944,0
199,1771945212923,1600,1599,1599,1600,1599,1599,1599,1599,0,0,4.761904716491699,100,0,0,0,0,10879.686157226563,28106.2138671875,14663.277038574219,4049.9215698242188,33360302080,2147479552,6814674944,0
199,1771945213123,1600,1599,1599,1600,1599,1599,1599,1599,47.619049072265625,4.761904716491699,0,100,0,0,23.809524536132813,4.761904716491699,10879.939147949219,28110.923095703125,14667.691589355469,4049.9215698242188,33360302080,2147479552,6814674944,0
200,1771945213323,1600,1599,1599,1600,1599,1599,1599,1599,80,0,0,100,0,0,0,0,10880.186340332031,28116.036376953125,14672.511108398438,4049.9215698242188,33360302080,2147479552,6814674944,0
200,1771945213524,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,0,0,0,10880.409362792969,28119.275634765625,14675.462951660156,4049.9215698242188,33360302080,2147479552,6814674944,0
200,1771945213724,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,9.523809432983398,0,4.761904716491699,0,10880.633361816406,28122.415100097656,14678.316528320313,4049.9215698242188,33360302080,2147479552,6814674944,0
200,1771945213924,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,0,0,0,10880.856323242188,28125.36309814453,14680.97900390625,4049.9215698242188,33360302080,2147479552,6814670848,0
200,1771945214124,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,100,0,0,0,0,10881.082885742188,28128.767028808594,14684.096984863281,4049.9215698242188,33360302080,2147479552,6814670848,0
200,1771945214324,1600,1599,1599,1600,1599,1599,1599,1599,0,0,0,40,0,0,0,61.904762268066406,10881.304992675781,28132.314880371094,14687.359680175781,4049.9215698242188,33360302080,2147479552,6814670848,0
