Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945189385,1310,1447,1356,1445,1628,1332,1435,1700,8,8,8,4.1666669845581055,4.1666669845581055,8.333333969116211,0,8,10851.380493164063,27733.13592529297,14326.999633789063,4049.2263793945313,33360302080,2147479552,6759514112,0
199,1771945189385,1310,1447,1356,1445,1628,1332,1435,1700,8,8,8,4.1666669845581055,4.1666669845581055,8.333333969116211,0,8,10851.3818359375,27733.137145996094,14326.999633789063,4049.2263793945313,33360302080,2147479552,6759514112,0
199,1771945189585,1310,1447,1356,1445,1628,1332,1435,1700,42.85714340209961,20,31.57894515991211,15.000000953674316,15.000000953674316,23.809524536132813,25,20,10851.635131835938,27733.921447753906,14327.401550292969,4049.2263793945313,33360302080,2147479552,6768672768,0
200,1771945189785,1310,1447,1356,1445,1628,1332,1435,1700,15.000000953674316,5.555555820465088,10.526315689086914,19.047618865966797,65,10.526315689086914,10,21.052631378173828,10851.920959472656,27736.945068359375,14329.991271972656,4049.2263793945313,33360302080,2147479552,6794813440,0
200,1771945189985,1310,1447,1356,1445,1628,1332,1435,1700,0,9.523809432983398,0,5,100,0,10,10,10852.200988769531,27741.522216796875,14334.168029785156,4049.2263793945313,33360302080,2147479552,6805745664,0
200,1771945190186,1310,1447,1356,1445,1628,1332,1435,1700,0,0,0,0,100,5,0,5,10852.476318359375,27744.563232421875,14336.879333496094,4049.2514038085938,33360302080,2147479552,6822572032,0
200,1771945190386,1310,1447,1356,1445,1628,1332,1435,1700,0,0,5,0,100,0,0,0,10852.698181152344,27747.883056640625,14339.913818359375,4049.2514038085938,33360302080,2147479552,6822830080,0
200,1771945190586,1310,1447,1356,1445,1628,1332,1435,1700,4.761904716491699,0,4.761904716491699,0,100,0,0,0,10852.929809570313,27751.65753173828,14343.400146484375,4049.2514038085938,33360302080,2147479552,6822674432,0
199,1771945190786,1310,1447,1356,1445,1628,1332,1435,1700,70,0,0,0,45,4.761904716491699,4.761904716491699,0,10853.172485351563,27755.291381835938,14346.802795410156,4049.2514038085938,33360302080,2147479552,6824480768,0
200,1771945190986,1310,1447,1356,1445,1628,1332,1435,1700,100,0,0,0,0,0,0,0,10853.399230957031,27758.84942626953,14350.012756347656,4049.2514038085938,33360302080,2147479552,6823755776,0
200,1771945191186,1310,1447,1356,1445,1628,1332,1435,1700,100,0,0,0,0,5,5,0,10853.623291015625,27762.017944335938,14352.895141601563,4049.2514038085938,33360302080,2147479552,6823755776,0
