Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945203598,2499,2500,2503,2500,2499,2499,2500,2499,8.823529243469238,11.428571701049805,8.823529243469238,11.428571701049805,14.705883026123047,8.823529243469238,6.25,11.428571701049805,10868.426818847656,27961.00146484375,14532.757690429688,4049.6157836914063,33360302080,2147479552,6730256384,0
199,1771945203599,2499,2500,2503,2500,2499,2499,2500,2499,8.823529243469238,11.428571701049805,8.823529243469238,11.428571701049805,14.705883026123047,8.823529243469238,6.25,11.428571701049805,10868.428039550781,27961.00262451172,14532.757690429688,4049.6157836914063,33360302080,2147479552,6730256384,0
199,1771945203799,2499,2500,2503,2500,2499,2499,2500,2499,21.052631378173828,21.052631378173828,15.789472579956055,15.789472579956055,16.666667938232422,25,20,16.666667938232422,10868.671936035156,27961.692016601563,14533.06591796875,4049.6157836914063,33360302080,2147479552,6734782464,0
199,1771945203999,2499,2500,2503,2500,2499,2499,2500,2499,21.052631378173828,21.052631378173828,15.789472579956055,15.789472579956055,16.666667938232422,25,20,16.666667938232422,10868.972534179688,27963.64971923828,14534.59375,4049.6157836914063,33360302080,2147479552,6770565120,0
199,1771945204199,2499,2500,2503,2500,2499,2499,2500,2499,25,12.820513725280762,12.5,69.23077392578125,15.000000953674316,12.820513725280762,15.000000953674316,17.5,10869.233581542969,27967.47137451172,14538.022583007813,4049.6157836914063,33360302080,2147479552,6783799296,0
199,1771945204399,2499,2500,2503,2500,2499,2499,2500,2499,10.526315689086914,0,5,100,10,5,5,5.263157844543457,10869.658630371094,27971.552734375,14541.518188476563,4049.8392944335938,33360302080,2147479552,6804455424,0
199,1771945204599,2499,2500,2503,2500,2499,2499,2500,2499,0,0,0,100,0,0,0,0,10869.882751464844,27975.05340576172,14544.734436035156,4049.8392944335938,33360302080,2147479552,6804574208,0
199,1771945204799,2499,2500,2503,2500,2499,2499,2500,2499,0,0,0,100,0,4.761904716491699,0,0,10870.111999511719,27978.497436523438,14547.892822265625,4049.8392944335938,33360302080,2147479552,6802305024,0
199,1771945204999,2499,2500,2503,2500,2499,2499,2500,2499,0,5,0,100,0,0,0,0,10870.341064453125,27982.130615234375,14551.239562988281,4049.8392944335938,33360302080,2147479552,6803079168,0
199,1771945205199,2499,2500,2503,2500,2499,2499,2500,2499,4.761904716491699,0,0,100,0,0,0,0,10870.563903808594,27985.546936035156,14554.489807128906,4049.8392944335938,33360302080,2147479552,6803333120,0
