Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945146463,1299,1300,1300,1300,1299,1299,1300,1300,11.428571701049805,8.823529243469238,11.428571701049805,8.571429252624512,11.428571701049805,14.285715103149414,8.823529243469238,11.428571701049805,10800.67578125,27083.253295898438,13742.971618652344,4048.1929931640625,33360302080,2147479552,6867578880,0
199,1771945146463,1299,1300,1300,1300,1299,1299,1300,1300,11.428571701049805,8.823529243469238,11.428571701049805,8.571429252624512,11.428571701049805,14.285715103149414,8.823529243469238,11.428571701049805,10800.678649902344,27083.25469970703,13742.974487304688,4048.1929931640625,33360302080,2147479552,6867578880,0
199,1771945146663,1299,1300,1300,1300,1299,1299,1300,1300,30.000001907348633,26.3157901763916,20,21.052631378173828,42.105262756347656,26.3157901763916,33.333335876464844,26.3157901763916,10800.931030273438,27083.88787841797,13743.272216796875,4048.1929931640625,33360302080,2147479552,6868910080,0
200,1771945146863,1299,1300,1300,1300,1299,1299,1300,1300,30.000001907348633,26.3157901763916,20,21.052631378173828,42.105262756347656,26.3157901763916,33.333335876464844,26.3157901763916,10801.210327148438,27085.671325683594,13744.706604003906,4048.1929931640625,33360302080,2147479552,6889807872,0
200,1771945147063,1299,1300,1300,1300,1299,1299,1300,1300,67.5,12.5,10.256410598754883,20,13.1578950881958,12.5,12.820513725280762,12.820513725280762,10801.461669921875,27089.178771972656,13747.764099121094,4048.1929931640625,33360302080,2147479552,6904889344,0
200,1771945147263,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,0,0,10801.708129882813,27092.255126953125,13750.552429199219,4048.1929931640625,33360302080,2147479552,6909075456,0
200,1771945147463,1299,1300,1300,1300,1299,1299,1300,1300,100,9.523809432983398,10,0,0,0,0,0,10801.941772460938,27095.780029296875,13753.789611816406,4048.1929931640625,33360302080,2147479552,6909943808,0
200,1771945147663,1299,1300,1300,1300,1299,1299,1300,1300,55,0,5,0,47.619049072265625,0,19.047618865966797,0,10802.171264648438,27100.356018066406,13758.081787109375,4048.1929931640625,33360302080,2147479552,6910574592,0
200,1771945147863,1299,1300,1300,1300,1299,1299,1300,1300,0,0,0,0,100,0,0,0,10802.394165039063,27104.344970703125,13761.788879394531,4048.1929931640625,33360302080,2147479552,6910558208,0
199,1771945148064,1299,1300,1300,1300,1299,1299,1300,1300,0,21.052631378173828,0,0,100,4.761904716491699,21.052631378173828,4.761904716491699,10802.663146972656,27108.220764160156,13765.368103027344,4048.1929931640625,33360302080,2147479552,6910558208,0
200,1771945148264,1299,1300,1300,1300,1299,1299,1300,1300,0,10,0,10,100,0,0,0,10802.912658691406,27111.34490966797,13768.2021484375,4048.1929931640625,33360302080,2147479552,6910558208,0
199,1771945148464,1299,1300,1300,1300,1299,1299,1300,1300,0,4.761904716491699,0,0,100,0,0,0,10803.140502929688,27114.817932128906,13771.390502929688,4048.1929931640625,33360302080,2147479552,6909956096,0
200,1771945148664,1299,1300,1300,1300,1299,1299,1300,1300,35,0,0,0,65,0,0,5,10803.368896484375,27118.272888183594,13774.560668945313,4048.1929931640625,33360302080,2147479552,6910001152,0
200,1771945148864,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,4.761904716491699,0,10803.592712402344,27121.16912841797,13777.174133300781,4048.1929931640625,33360302080,2147479552,6910001152,0
200,1771945149064,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,10,0,0,0,0,10803.81689453125,27123.998413085938,13779.720092773438,4048.1929931640625,33360302080,2147479552,6910001152,0
200,1771945149264,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,10,0,10804.04248046875,27127.443298339844,13782.880981445313,4048.1929931640625,33360302080,2147479552,6910001152,0
200,1771945149464,1299,1300,1300,1300,1299,1299,1300,1300,100,0,4.761904716491699,0,4.761904716491699,0,0,0,10804.271667480469,27130.711364746094,13785.863098144531,4048.1929931640625,33360302080,2147479552,6910001152,0
200,1771945149664,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,0,0,10804.496215820313,27134.214599609375,13789.080871582031,4048.1929931640625,33360302080,2147479552,6908887040,0
200,1771945149864,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,0,0,10804.718566894531,27137.574584960938,13792.158264160156,4048.1929931640625,33360302080,2147479552,6909403136,0
200,1771945150064,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,0,0,10804.944396972656,27140.306274414063,13794.605041503906,4048.1929931640625,33360302080,2147479552,6892548096,0
200,1771945150265,1299,1300,1300,1300,1299,1299,1300,1300,100,4.761904716491699,0,0,0,4.761904716491699,0,0,10805.166198730469,27142.827697753906,13796.84423828125,4048.1929931640625,33360302080,2147479552,6892548096,0
200,1771945150465,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,4.761904716491699,0,0,0,4.761904716491699,10805.393676757813,27146.583984375,13800.30908203125,4048.1929931640625,33360302080,2147479552,6892179456,0
200,1771945150665,1299,1300,1300,1300,1299,1299,1300,1300,100,0,4.761904716491699,0,0,0,0,0,10805.617370605469,27149.228515625,13802.606750488281,4048.1929931640625,33360302080,2147479552,6893072384,0
200,1771945150865,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,5,0,10,0,0,10805.848327636719,27152.86346435547,13805.889709472656,4048.1929931640625,33360302080,2147479552,6895378432,0
200,1771945151065,1299,1300,1300,1300,1299,1299,1300,1300,100,0,0,0,0,0,0,0,10806.071105957031,27156.27166748047,13808.937561035156,4048.1929931640625,33360302080,2147479552,6895378432,0
