Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771945239138,1000,999,1000,1000,1000,1000,1000,1000,8.333333969116211,8.108107566833496,13.1578950881958,11.111111640930176,5.555555820465088,10.526315689086914,10.526315689086914,13.1578950881958,10910.98779296875,28515.10089111328,15031.506652832031,4050.9556274414063,33360302080,2147479552,6740955136,0
199,1771945239138,1000,999,1000,1000,1000,1000,1000,1000,8.333333969116211,8.108107566833496,13.1578950881958,11.111111640930176,5.555555820465088,10.526315689086914,10.526315689086914,13.1578950881958,10910.98779296875,28515.10089111328,15031.506652832031,4050.9556274414063,33360302080,2147479552,6740955136,0
199,1771945239338,1000,999,1000,1000,1000,1000,1000,1000,15.789472579956055,31.57894515991211,21.052631378173828,25,30.000001907348633,11.764705657958984,20,27.77777862548828,10911.233947753906,28515.77264404297,15031.838134765625,4050.9556274414063,33360302080,2147479552,6746460160,0
200,1771945239538,1000,999,1000,1000,1000,1000,1000,1000,15.789472579956055,31.57894515991211,21.052631378173828,25,30.000001907348633,11.764705657958984,20,27.77777862548828,10911.5439453125,28519.39471435547,15035.017578125,4050.9556274414063,33360302080,2147479552,6791061504,0
200,1771945239738,1000,999,1000,1000,1000,1000,1000,1000,10.256410598754883,7.317072868347168,21.95121955871582,12.820513725280762,15.000000953674316,85,12.5,10,10911.809692382813,28523.629760742188,15038.877380371094,4050.9556274414063,33360302080,2147479552,6796664832,0
200,1771945239938,1000,999,1000,1000,1000,1000,1000,1000,4.761904716491699,0,10,5,10,100,0,0,10912.195983886719,28528.970825195313,15043.645935058594,4051.1732788085938,33360302080,2147479552,6819434496,0
200,1771945240138,1000,999,1000,1000,1000,1000,1000,1000,0,0,0,0,0,100,0,0,10912.417602539063,28531.726196289063,15046.113159179688,4051.1732788085938,33360302080,2147479552,6819434496,0
199,1771945240338,1000,999,1000,1000,1000,1000,1000,1000,0,5,4.761904716491699,5,0,100,10,9.523809432983398,10912.7451171875,28535.42138671875,15049.277282714844,4051.3729858398438,33360302080,2147479552,6817538048,0
199,1771945240539,1000,999,1000,1000,1000,1000,1000,1000,0,84.21052551269531,5.263157844543457,5,5,25,5,0,10913.188354492188,28539.980834960938,15053.099182128906,4051.7319946289063,33360302080,2147479552,6819057664,0
199,1771945240739,1000,999,1000,1000,1000,1000,1000,1000,0,100,9.523809432983398,5,0,5,5,10,10913.629516601563,28544.033813476563,15056.433837890625,4052.0750122070313,33360302080,2147479552,6819119104,0
